,title,company,job_info1,vacancy,job_context,job_res,emp_status,edu_req,exp_req,add_req,location,salary,other_bnf,comp_details,job_links
56,Software Engineer (PHP),Software Engineer (PHP),n/a,n/a,"Job Context
We are seeking a highly skilled PHP developer to join our dynamic team. As a PHP developer, you will be responsible for designing, developing, and maintaining web applications. You will be expected to have a strong understanding of PHP and related technologies, as well as experience building web applications using frameworks such as Laravel, Yii.","Job Responsibilities
Design, develop, and maintain web applications using PHP and related technologies
Write clean, efficient, and well-organized code
Collaborate with other developers, designers, and stakeholders to deliver high-quality solutions
Troubleshoot and debug issues as needed
Participate in code reviews and ensure that all code is properly tested
Stay up-to-date with the latest developments in PHP and related technologies","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc)
A degree in Computer Science is a plus, but we are searching for skills rather than degrees.
Skills Required: PHP (OOP), React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git, Wordpress Plugin Development","Experience Requirements
At least 3 year(s)","Additional Requirements
Age 20 to 35 years
Both males and females are allowed to apply
Attend programming contest also plus and clearly mention above job requirement in your CV","Job Location
Dhaka","Salary
Negotiable
Salary up to BDT 60,000 and other facilities as per company policy.","Compensation & Other Benefits
Weekly 2 holidays, Tour allowance, T/A, Mobile bill, Credit card, Performance bonus
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2
Work Experience with International Team, Play Zone, Food Corner, Friendly Environment","Published On
26 Jan 2023
Company Information
Unlocklive IT Limited
Address : House# 66(501), Road#2, Block#E, Mirpur-12
Web : www.unlocklive.com
Business : UnlockLive provides state-of-the-art software solutions to clients all over the world. We are a creative force with strategic alliances distributed around the globe. For more info visit: https://www.unlocklive.com/environment-of-unlocklive-it-limited/",https://jobs.bdjobs.com/jobdetails.asp?id=1119375&fcatId=8&ln=1
57,.NET Backend Developer,.NET Backend Developer,n/a,n/a,"Job Responsibilities
Design & development of backend API in .NET framework.
Collaborate with cross-functional teams to analyse, design, and implement new features.
Communicating directly with customer and perform daily operation.
Follow coding rules/conventions defined by the company.
Perform Unit tests and ensure proper test coverage as per organizational standard.
Prepare basic design, detail design, and execute basic acceptance testing.
Follow the review process for peer review to code delivery.
Participate in the defined meeting as per company policy.
Achieve the goals set by the project manager.
Achieve the KPI set by the company.
Organizational reporting as per policy.
Technical support to the other team members.
Preparing project estimation & support to prepare the schedule if needed.
Conducting interview if needed for new recruitment.
Support organization in training, team build and OJT.
Follow all rules and policies as per defined by the organization.",n/a,"Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science Engineering","Experience Requirements
At least 3 year(s)","Additional Requirements
Age at least 25 years
Must have strong analytical skills and self-learning ability.
Strong understanding of Object-Oriented Programming.
Have the urge to avoid spaghetti code and a good understanding of clean code.
At least 3+ years of software development experience using C# and .NET stack.
Must be able to use Git such as GitHub or Bitbucket.
Hands on experience on .NET Core 3.1 or later, Web API, Entity Framework, JWT, Unit test using MOCK.
Sound understanding of RDBMS such as MS SQL Server.
Able to write RESTful APIs.
Understanding of design patterns such as SOLID, Repository pattern.
A good understanding of Microservice architecture.
Experience on Cloud environment such as Azure or AWS.
Experience with Agile methodologies such as SCRUM.
Familiar with project management tools such as JIRA, Confluence etc.
Familiar with latest frontend technologies such as React or Angular.","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
Attractive Salary for deserving candidate.
Performance bonus, Provident fund,
Weekly 2 holidays.
Leave encashment benefits
Medical benefits
Lunch Facilities: Full Free
Salary Review: Yearly
Festival Bonus: 3 (Yearly)
Free Breakfast
Facilities for skill development
Sponsorship for professional certification","Published On
26 Jan 2023
Company Information
BJIT Ltd.
Address : House# 2275, 2279, Pachkhola, Dhaka-1212
Web : www.bjitgroup.com
Business : ICT software production",https://jobs.bdjobs.com/jobdetails.asp?id=1119367&fcatId=8&ln=1
58,Senior React js Developer,Senior React js Developer,n/a,n/a,"Job Context
We are looking for a great React js developer. Primary focus of this position will be on developing user interface components and implementing them following well-known React js work?ows. Need to ensure that these components and the overall application are robust and easy to maintain. Need to coordinate with the rest of the team working on di?erent layers of the infrastructure. Therefore, a commitment to collaborative problem solving, sophisticated design, and quality product is important.","Job Responsibilities
Strong knowledge about React Js & Node js
Developing and maintaining all server-side network components.
Ensuring optimal performance of the central database and responsiveness to front-end requests.
Collaborating with front-end developers on the integration of elements.
Designing customer-facing UI and back-end services for various business processes. Developing high-performance applications by writing testable, reusable, and e?cient code. Implementing e?ective security protocols, data protection measures, and storage solutions. Running diagnostic tests, repairing defects, and providing technical support.
Recommending and implementing improvements to processes and technologies. Keeping informed of advancements in the ?eld of Node.js development.
Developing the latest user-facing features using React.js Designing a modern highly responsive web-based user interface
Building reusable components and front-end libraries for future use Translating designs and wireframes into high-quality code
Learn and understand user interactions
Coordinating with various teams working on distinct layers Develop new components and features for our frontend app(s) Document and refactor codebase
Frontend performance improvement.
Meeting with the team to discuss user interface ideas and applications. Reviewing application requirements and interface designs.
Identifying web-based user interactions.
Developing and implementing highly-responsive user interface components using React concepts.
Developing and implementing front-end architecture to support user interface concepts. Monitoring and improving front-end performance","Employment Status
Full-time","Educational Requirements
Bachelor of Science (BSc) in Computer Science & Engineering
Skills Required: Software Development, Software Implementation, Software Testing","Experience Requirements
At least 3 year(s)
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age at least 25 years
Team spirit.
Candidates need to be professional, friendly, courteous, and able to meet committed deadlines. Good project management skills.
Time management skills
Excellent in Business communication in English","Job Location
Dhaka (Paltan)","Salary
Negotiable","Compensation & Other Benefits
Mobile bill
Lunch Facilities: Full Subsidize
Salary Review: Yearly
Festival Bonus: 2","Published On
25 Jan 2023
Company Information
JSK Group
Address : Monihar Classic(5th And 6th Floor). 56, Shanti nagar. Opposite side of BNP Central Party offce.Naya Paltan .Dhaka.
Web : www.jskgroups.com
Business : This is a Group of Companies.
Our sister Sister Concerns are
Jsk Travels(Recruiting licence no-1368)
Mab Associates( recruiting licence no-0650)
Travel World Limited(Hajj licence no-1394 ,Umrah, And IATA)
Human Diagnostic center(Jordan ,Malaysia, iraq Approved)
City Consultancy limited( Education Consultancy)",https://jobs.bdjobs.com/jobdetails.asp?id=1119319&fcatId=8&ln=1
59,Video Editor/ Graphic Designer,Video Editor/ Graphic Designer,n/a,n/a,"Job Context
We are looking for skilled video editor for our team to produce highly relevant, engaging video on a variety of contents for YouTube channels, Facebook, Instagram.","Job Responsibilities
Professional level video editing skill.
Must have expertise in Adobe in Design, Adobe Photoshop, Adobe Illustrator,
Adobe Premiere Pro, and Adobe After effect & other graphics software too
Managing all sorts of Video Editing activities.
Create YouTube videos using stock footages
Edit videos, static graphic content mainly focused on social media marketing.
YouTube and Facebook manage","Employment Status
Full-time","Educational Requirements
Bachelor degree in any discipline
Skills Required: Short Video Ads, video content, video editing
Skills Required: Adobe After Effects, Adobe premiere pro Filmora, Graphic DesigningDTPVisualization in a reputed advertising agency, motion graphics, Video Editor & Graphics designer","Experience Requirements
1 to 2 year(s)","Additional Requirements
Age 20 to 40 years","Job Location
Dhaka (Banani)","Salary
Negotiable
Mobile bill, Performance bonus, Provident fund Festival Bonus: 2 (Yearly)",n/a,"Published On
25 Jan 2023
Company Information
Futureed Corporation Ltd
Address : Ahmed Tower (6th Floor), Kemal Ataturk Avenue, Banani, Dhaka-1213
Web : https://www.ieltsbritishcouncilbd.com/
Business : Futureed English is the IELTS Official Test venue of British Council in Banani since 2013. We do have operations in Australia www.futureedenglish.com.au and in NZ www.futureedenglish.co.nz or www.britishcouncilielts.co.nz with strong focus on English Language testing. Recently, we have signed up a partnership to work with 1400 institution in 37 countries for using on UK, AUSTRALIA, USA, Canada n New Zealand.
Keeping that in mind, we are looking for few independent, ambitious yet honest, able to sell, able to create conviction in buyers mind.",https://jobs.bdjobs.com/jobdetails.asp?id=1119317&fcatId=8&ln=3
60,Sr. Executive/ Assistant Manager,Sr. Executive/ Assistant Manager,n/a,n/a,"Job Context
Key Selling Points:
We are looking for Software Engineer/IT Expertise with skills and experience in building modern web applications using the back end (PHP Laravel framework), front end (css, JQuery, JavaScript, Vue.js, ReactJS etc.) and EAN-13, UPC-A, Code 39, or ITF technologies. Also work with highest rated barcode software products on Trust Radius are Asset Panda, BarTender, and Fishbowl Manufacturing","Job Responsibilities
-","Employment Status
Full-time","Experience Requirements
At least 3 year(s)",n/a,"Additional Requirements
Age 25 to 35 years
The applicants should have experience in the following area(s):
API Development, JavaScript, JS JQuery AJAX, MySQL database, PHP Laravel, ReactJS, VueJS, EAN-13, UPC-A, Code 39, or ITF technologies. Also work with highest rated barcode software products on Trust Radius are Asset Panda, BarTender, and Fishbowl Manufacturing.
The applicants should have experience in the following business area(s):
Barcode , QR code and GTIN/GLN generating company in Bangladesh.
Must have working experience as a technician of Barcode, QR code and GTIN/GLN generating.
Professional experience in MySQL/MariaDB/Oracle.
Sound knowledge in MVC design pattern & Object-Oriented Programming.
Professional experiences in web technologies including HTML, CSS, JavaScript, AJAX, JSON Vu.js, ReactJS, Angular etc.
Experience in Reporting systems especially in HTML Report or TIBCO JASPER REPORT or others.
Experience in designing and building Web API (SOAP, REST etc.) integrating with Android App and Payment gateway.
Strong knowledge of web services in Apache and Nginx.
Must have experience with Git or any other version controlling tools.
Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards.
A solid understanding of Object-Oriented Design, PHP, MySQL/MariaDB/Oracle.
Deep understanding of SDLC development principles with project management knowledge.
Ability to meet tight deadlines and doesn't take working as pressure but enjoys challenges and new opportunities.","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
Salary Review: Yearly
Tax will be paid by Company
No extra bonuses; All bonuses are included in monthly Salary","Published On
25 Jan 2023
Company Information
USDS International Ltd",https://jobs.bdjobs.com/jobdetails.asp?id=1119266&fcatId=8&ln=1
61,IT Executive (E-commerce),IT Executive (E-commerce),n/a,n/a,"Job Context
Isharify Limited is a fast-growing eCommerce solution provider company in Dhaka searching for an Ecommerce IT Executive with great computer knowledge and English (Written and Spoken) Communication Skills to develop a good relationship between the customer and the client to deliver the best possible service.","Job Responsibilities
Ability to multi-task and adhere to deadlines.
Excellent communicator (verbal and written).
Detailed oriented.
Great at explaining and documenting how something works verbally and written.
Communicating with foreign clients fluently and making them understand the client's needs.
Building an outstanding relationship with our clients through regular and proper follow-ups.
Managing and leading the team and aligning them with the client's requirements.
Candidates must be able to comprehend our visions for the future and cultivate a strong and self-motivated personality.
Handle difficult situations on the spot with excellent critical thinking ability.
Understanding the technical aspect of our work properly to communicate with clients.
Organizing project tasks and creating workflows that will ensure satisfactory service for the client.
Understanding the business of the clients and keeping up with changes.","Employment Status
Full-time","Educational Requirements
Bachelor of Arts (BA), Bachelor of Commerce (BCom), Bachelor of Business Administration (BBA), Bachelor in Engineering (BEngg)","Experience Requirements
At most 2 year(s)
Freshers are also encouraged to apply.","Additional Requirements
Age 22 to 30 years
Both males and females are allowed to apply
Good English And Computer skills are needed.
Good communication in English both in (Writing and Speaking).
Willingness to grow with the Company.
Comfortable with working in a fast-paced, ever-changing environment.","Job Location
Dhaka (Mirpur)","Salary
Tk. 15000 - 17000 (Monthly)","Compensation & Other Benefits
Salary Review: Yearly
Festival Bonus: 2","Published On
25 Jan 2023
Company Information
Isharify Ltd
Address : 793/1 Monipur, Mirpur-2, Dhaka
Web : http://www.isharify.com/",https://jobs.bdjobs.com/jobdetails.asp?id=1119184&fcatId=8&ln=1
62,IT Executive (Digital Marketing),IT Executive (Digital Marketing),n/a,n/a,"Job Context
Duty : Saturday to Thursday - Time 9:30 AM to 6:00 PM","Job Responsibilities
Experience and skills in digital marketing
To promote products on all Online platforms
Experience in wordpress platform
Paid Marketing
Google analytics and Adwords","Employment Status
Full-time",Educational Requirements,n/a,"Additional Requirements
Both males and females are allowed to apply
Experience on beauty product and blog writing in Bangla","Job Location
Dhaka (Dhanmondi)","Salary
Tk. 15000 (Monthly)
Or Negotiable",n/a,"Published On
25 Jan 2023
Company Information
Nasreen Zamir And Associates",https://jobs.bdjobs.com/jobdetails.asp?id=1119170&fcatId=8&ln=3
63,Software Engineer (LARAVEL - VUE JS),Software Engineer (LARAVEL - VUE JS),"Key Selling Points
ACI Limited is looking for an experienced Software Engineer who has the expertise to work in the areas of LARAVEL - VUE JS.",n/a,"Job Responsibilities
Must have in-depth knowledge of PHP Laravel programming language and related frameworks with development tools.
Planning, design, implementation, and support to produce successful web applications.
Strong knowledge of PHP Laravel & Vue JS with raw JavaScript.
Develop RESTful API in Laravel to assist mobile application development and other third-party integration.
Understanding of MVC design patterns.
Design a database (MS SQL/ MYSQL) and scale it efficiently.
Strong knowledge of object-oriented PHP programming",n/a,"Employment Status
Full-time","Educational Requirements
B.Sc/ M.Sc in Computer Science or equivalent from reputed public university / private university","Experience Requirements
2 to 3 year(s)","Additional Requirements
Age 25 to 35 years
Front-end: HTML, CSS, jQuery, Ajax, Bootstrap, Vue JS etc.
Back-end: Object Oriented Programming, PHP (Laravel), MS SQL, MYSQL etc.
Must have at least 2 years of experience in web design & development.
Should have previous 2-3 real-time complete projects.","Job Location
Dhaka",n/a,n/a,"Published On
25 Jan 2023
Company Information
Advanced Chemical Industries Limited (ACI)
Address : ACI Centre, 245 Tejgaon Industrial Area, Dhaka-1208.
Web : www.aci-bd.com
Business : Pharmaceuticals; Agribusiness; Consumer Brands.",https://jobs.bdjobs.com/jobdetails.asp?id=1119159&fcatId=8&ln=1
64,Software Engineer (Python),Software Engineer (Python),"Key Selling Points
ACI Limited is looking for an experienced Software Engineer who has the expertise to work in the areas of Python 3, MySQL / PostgreSQL, HTML, CSS, Docker, Git.",n/a,"Job Responsibilities
You will write efficient, reusable, testable, and scalable code.
understanding, analyzing, and implementing business needs, feature modification requests, conversion into software components.
working on the integration of user-oriented elements into different applications, data storage solutions.
Developing Backend components to enhance performance and receptiveness, server-side logic, and platform, statistical learning models, highly responsive web applications.
Designing and implementing high availability and low latency applications, data protection and security features.
You will oversee performance tuning and automation of applications.
Testing and debugging software applications with Python test framework tools such as Behave, Pytest, PyUnit, etc.
Enhancing the functionalities of current software systems.",n/a,"Employment Status
Full-time","Educational Requirements
B.Sc/ M.Sc in Computer Science/ Information Technology from reputed public university / private university","Experience Requirements
2 to 3 year(s)","Additional Requirements
Age 25 to 35 years
You have experience working with Django and Django Rest Framework.
You have working knowledge of HTTP and authentication, Database optimization, Test-driven development, and Gitflow.","Job Location
Dhaka",n/a,n/a,"Published On
25 Jan 2023
Company Information
Advanced Chemical Industries Limited (ACI)
Address : ACI Centre, 245 Tejgaon Industrial Area, Dhaka-1208.
Web : www.aci-bd.com
Business : Pharmaceuticals; Agribusiness; Consumer Brands.",https://jobs.bdjobs.com/jobdetails.asp?id=1119154&fcatId=8&ln=1
65,Digital Solution and Service Lead Engineer,Digital Solution and Service Lead Engineer,n/a,n/a,"Job Responsibilities
Lead implementation of the solution from articulating project requirements and goals to solution go-live.
Translating business and technical requirements into coherent, consistent and complete architecture designs.
Ensure standard operations and maintenance of the systems.
Maintain information security controls and O&M processes during every delivery and maintenance
Ensure highly resilient robust solution design, proper capacity planning, adequate monitoring and continuous service improvement.
Strive for innovative digital solutions to meet the business requirements and conduct sourcing process along with technical reviews of digital products and vendors.
Maintain a strong understanding of the current industry trends and best practices.",n/a,"Employment Status
Full-time","Educational Requirements
Bachelors in CSE or equivalent from any UGC approved University","Experience Requirements
4 to 7 year(s)","Additional Requirements
4 Years of relevant experience
Thorough understanding and proven experience of VAS and telecom domain.
Strong understanding and hands-on solution experience in SMSC, USSD, Recharge, SDP, MFS solutions.
Strong mentality to work 24/7 including midnight maintenance window (on demand).
Good team player.
Sound understanding of telecom operations.
Hands-on experience of Linux and database.
Problem solving through innovative and creative thinking.
Understanding of Project Management framework.
Preferred Industry/Company
Telecommunication/ Software/IT
Person with disability are encouraged to apply","Job Location
Dhaka","Salary
(Monthly)","Compensation & Other Benefits
As per Company Policy","Published On
25 Jan 2023
Company Information
Banglalink
Address : Tigers' Den, Plo 4, SW (H) Gulshan Avenue, Gulshan, Dhaka-1212
Business : Wireless Telecommunication",https://jobs.bdjobs.com/jobdetails.asp?id=1119118&fcatId=8&ln=1
66,Software Engineer (Asp.Net),Software Engineer (Asp.Net),n/a,n/a,"Job Context
Job Location: Gulshan-2, Dhaka","Job Responsibilities
Sole understanding of OOP programming concepts on C#, Asp.Net Web Form & MVC with complex logic.
Working on ERP software.
Working knowledge on JavaScript, jQuery, Ajax, HTML & CSS with Responsive Design will be given preference.
Knowledge of Code optimization, code review, SQL query optimization, Trigger, Function Procedure and SQL server administration etc.
Work seamlessly in a team collaborating with other team members and ensuring knowledge transfer.","Employment Status
Full-time","Educational Requirements
B.Sc/M.Sc in Computer Science or related subjects. In the case of highly skilled candidates, the educational qualification is relaxed.","Experience Requirements
2 to 3 year(s)","Additional Requirements
Professional Skill on ASP.NET MVC, ASP.NET, C#, MSSQL& SQL Server, IIS Server, HTML5 & CSS3, JavaScript, jQuery, Ajax etc.
Professional Experienced on Repository Design Pattern.
Excellent capability of writing complex SQL queries including Nested Views, Triggers, Function Stored Procedures etc.
Advance knowledge in Object Oriented Programming (OOP)","Job Location
Dhaka (Gulshan)","Salary
Negotiable","Compensation & Other Benefits
Yearly salary review, 2 festival bonus, transport facility, sale commission bonus etc.","Published On
25 Jan 2023
Company Information
Swadesh Properties Ltd.
Address : Taher Tower Sopping Complex, 6th Floor, Plot # 10, Gulshan Cirlcle-2, Dhaka-1212.
Web : www.swadeshproperties.com
Business : A Reputed Real Estate & Housing Company",https://jobs.bdjobs.com/jobdetails.asp?id=1119117&fcatId=8&ln=1
67,Assistant Manager (Operation & Development),Assistant Manager (Operation & Development),n/a,n/a,"Job Context
A new startups in Bangladesh looking for Asst. Manager-Operation & Development.
The Startup is about online platform which connect Buyer, Seller and Mill/Factory owner & provide Fabric, Yarn, Cotton, Readymade garments, Textile machine, Trims & Accessories.","Job Responsibilities
Full understanding and capability to explain the business to the target group.
In-depth understanding of the operational process flow of the related mobile app ensuring availability of the app to everyone and facilitating its downloading.
Preparing Standard Operating Process (SOP) for facilitating hassle free business.
Looking after the entire functions of the newly launched e-commerce, remaining accountable to the higher authority, developing the business, removing the barriers, if any, and upgrading the system on a continuing basis.
Call center, BPO, Sales team, Digital marketing and others team monitoring and necessary tools using and implementation capability.
Need knowledge for All technical like server, hosting, domain app, website, payment system, local and international payment gateway, from buyer registration to commission payment function keep active by using supportive team, supplier, vendor and administration.
Plan and monitor the ongoing/create new company presence on social media (LinkedIn, Face book, YouTube, Twitter etc.)
Ensure events/activities are completed smoothly.
Think strategically - seeing the bigger picture and setting aims and objectives in order to develop and improve the business.
Work on startup documentation, presentation, funding, coordinate and search the new opportunity for business and fund.
Any other relevant task will be assigned by the management
Preparing Annual and Long-term business plans, setting, among others, business and profit targets, identifying the ways and means to achieve the targets.
Drawing business procurement, implementation and judicious business expansion plans.
Identifying and recommending logistics for optimum business.
Remaining fully responsible for the entire IT related functions of the group, creating necessary data base and generating MIS report of the group on regular basis and also as needed.","Employment Status
Full-time","Educational Requirements
B.Sc. in CSE/ICE/CIS/ITM/MIS
MBA in MIS will be an added qualification
Skills Required: Digital Marketing (Social Media Marketing), IT Support Service","Experience Requirements
At least 3 year(s)
The applicants should have experience in the following area(s):
Digital Marketing, Garments Textile, Mobile apps developer, Online Marketing, Startup
The applicants should have experience in the following business area(s):
Textile, Trading or Export/Import","Additional Requirements
Age 28 to 35 years
Both males and females are allowed to apply
Have good understanding of e-business ( E-commerce)- covering B2B and B2C, working experience for minimum 3 years in similar business platform.
Have Very good understanding about mobile Apps Development.
Have innovative ideas related to the above business field and be able to confidently attract business.
Be goal and result oriented and well connected for rewarding business promotion.
Excellent written and verbal communication skill both in Bangla and English.
Must have literacy in computer operation (Especially in MS Office and Various Software).
Must be dynamic, energetic, self-motivated and self-organized with a positive attitude.","Job Location
Dhaka","Salary
Tk. 35000 - 45000 (Monthly)","Compensation & Other Benefits
Tour allowance, Performance bonus
Salary Review: Half Yearly
Others Benefit as per company Policy.","Published On
25 Jan 2023
Company Information
An E-Commerce Startup",https://jobs.bdjobs.com/jobdetails.asp?id=1119046&fcatId=8&ln=1
68,ওয়েব ডেভেলপার,ওয়েব ডেভেলপার,n/a,n/a,"Job Responsibilities
এইচটিএমএল, সিএসএস, জাভাস্ক্রিপ্ট, পিএসপি এক্সপার্ট,লারাভেল, বুটস্ট্র্যাপ, রেস্পন্সিভ ডিজাইন, ওয়ার্ডপ্রেস, ওয়ার্ডপ্রেস থিম ডেভেলপমেন্ট",n/a,"Employment Status
Full-time, Contractual","Educational Requirements
Bachelor degree in any discipline
Skills Required: Web Design, Web Developer, Web Developer/ Web Designer, Website Design","Experience Requirements
At least 1 year(s)
The applicants should have experience in the following area(s):
Computer Operating, Software, Software Development, Web Developer/ Web Designer","Additional Requirements
Age at most 40 years
Person with disability are encouraged to apply","Job Location
ঢাকা, ঢাকা (ওয়ারী, মতিঝিল, যাত্রাবাড়ি)","Salary
Negotiable
ভাল মানুষ হলে ভাল বেতন দিব","Compensation & Other Benefits
T/A, Mobile bill, Pension policy, Tour allowance, Credit card, Medical allowance, Performance bonus, Profit share, Provident fund, Insurance, Over time allowance
Lunch Facilities: Partially Subsidize
Salary Review: Half Yearly","Published On
25 Jan 2023
Company Information
TICTB
Address : 78/3 Swamibag Road,(Mosque's Market), 1st, 2nd & 3rd Floor, Jatrabari, Gandaria, Dayagonj Mor, Dhaka-1100
Web : www.tictb.org",https://jobs.bdjobs.com/jobdetails.asp?id=1119015&fcatId=8&ln=2
69,Software Engineer/ Senior Software Engineer (PHP Full-Stack),Software Engineer/ Senior Software Engineer (PHP Full-Stack),"Key Selling Points
We are looking for Software Engineer/ Senior Software Engineer with skills and experience in building modern web applications using the back end (PHP Laravel framework), front end (css, JQuery, JavaScript, Vue.js, ReactJS etc.) technologies.",n/a,"Job Responsibilities
Design and develop client-side and server-side architecture for web and mobile applications.
Design and develop effective APIs.
Design, develop and manage well-functioning databases.
Design, develop and integrate cross platform mobile application.
Design, develop and integrate mobile responsive web application.
Write clean, secure, test-driven, easily maintainable, and modular codes as well as coach the team to do the same.
Optimize web applications for maximum speed and scalability.
Unit Test, troubleshoot, debug and monitor activities to ensure or improve responsiveness and efficiency on all projects
Work closely with project manager or stakeholders to ideate software solutions.
Create technical documentation or provide support on relevant reports/documents.",n/a,"Employment Status
Full-time","Educational Requirements
Bachelor of Computer Application (BCA) in Computer Science, Bachelor in Engineering (BEngg) in EEE
Skills Required: API Development, JavaScript, PHP Laravel, ReactJS, VueJS","Experience Requirements
At least 2 year(s)
The applicants should have experience in the following area(s):
API Development, JavaScript, JS JQuery AJAX, MySQL database, PHP Laravel, ReactJS, VueJS
The applicants should have experience in the following business area(s):
Software Company","Additional Requirements
Age 24 to 38 years
Only males are allowed to apply
Must have working experience as a full stack developer (Laravel Developer).
Professional experience in MySQL/MariaDB/Oracle.
Sound knowledge in MVC design pattern & Object-Oriented Programming.
Professional experiences in web technologies including HTML, CSS, JavaScript, AJAX, JSON Vu.js, ReactJS, Angular etc.
Experience in Reporting systems especially in HTML Report or TIBCO JASPER REPORT or others.
Experience in designing and building Web API (SOAP, REST etc.) integrating with Android App and Payment gateway.
Strong knowledge of web services in Apache and Nginx.
Must have experience with Git or any other version controlling tools.
Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards.
A solid understanding of Object-Oriented Design, PHP, MySQL/MariaDB/Oracle.
Deep understanding of SDLC development principles with project management knowledge.
Ability to meet tight deadlines and doesn't take working as pressure but enjoys challenges and new opportunities.
We are looking for friendly and honest employee.","Job Location
Dhaka","Salary
Tk. 40000 - 70000 (Monthly)","Compensation & Other Benefits
Salary Review: Yearly
Tax will be paid by Company
No extra bonuses; All bonuses are included in monthly Salary
Learning Opportunity","Published On
23 Jan 2023
Company Information
Reputed Multinational Company",https://jobs.bdjobs.com/jobdetails.asp?id=1118399&fcatId=8&ln=1
70,Software Developer,Software Developer,n/a,n/a,"Job Context
We`re looking for a talented technology enthusiast Software Developer who can involve in the process, life cycle and creation of the software and aimed at helping users to complete a computer task or program. If you find yourself fit for the position, you are invited to apply.","Job Responsibilities
Understanding of software engineering design, development methodologies. In depth knowledge in software tools and design techniques in line with leading new technologies.
Must have minimum 1 years of experience in Microsoft Dot net Technologies for Developer profile. Minimum 1+ years of solid software development experience in programming language C#, Windows Services, ASP. Net, HTML, Web Services.
Strong knowledge on JavaScript, CSS.
Experience on ASP Net MVC, ASP Net Core Web API is mandatory.
Ability to apply OOPs concepts in real world situations.
Good understanding and implementation experience on Design Patterns and Architecture Patterns.
Experience on database platforms (ie: SQL)
Experience on Reporting tools (ie: RDLC or Crystal)
Troubleshoot, debug and upgrade existing systems.","Employment Status
Full-time","Educational Requirements
Bachelor degree in Computer Science & Engineering or equivalent from any reputed University.","Experience Requirements
At least 2 year(s)","Additional Requirements
Ability to find out website bugs & fix.
Experience on ReactJS or React Native preferable.
Solid knowledge & experience of Ajax and JSON
Thorough functional knowledge and coding experience.
Basic knowledge of Search Engine Optimization.
Strong communication skills.
Management experience or examples that show ability to manage a team, this role should involve team management.
Knowledge of programming language and technical terminology.
Able to develop ideas, processes and clearly express them.
Able to solve complex problems.
Capable of work as a team or individual.
We require you to have creativity and research knowledge in order to provide the best results.
Excellent time management and multitasking skills.","Job Location
Dhaka","Salary
Negotiable","Compensation & Other Benefits
As per University policy and to be framed time to time.","Published On
23 Jan 2023
Company Information
Primeasia University
Address : Star Tower, 12 Kemal Ataturk Avenue, Banani C/A, Dhaka-1213.",https://jobs.bdjobs.com/jobdetails.asp?id=1118546&fcatId=8&ln=1
