,Unnamed: 0,job_title,name_location,experience_level,job_description
54,54,Social Media Evaluator in Bangladesh,"Appen Chattogram, Bangladesh Remote",Temporary · Entry level,"Become a Social Media Evaluator!

Get paid for the time you spend on social media platforms! As a social media evaluator, you will assess the quality and relevance of information in news feeds, advertisements, and search results. You can make a direct impact on the effectiveness of services your favorite social media platforms provide and make the b user experience better for all.
What You Can Expect:
Short-term commitment, potential to work long-term
Flexible work schedule to suite your lifestyle needs
Some projects may ask you to work a designated number of hours each week

No experience is necessary, all you need is:
An active Facebook account with at least 25 friends
Computer and/or smartphone device with a stable internet connection
Fluent speaker, reader, and writer in your local language
Good comprehension skills in English
Currently residing in the country of the specific task you apply for

Join the fun with AI Technology! Become an Appen Contributor!
We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
55,55,Remote Data Scientist Jobs,Turing Bangladesh Remote,Full-time · Entry level,"A US-based fintech company that provides mortgage closing services is looking for a Data Scientist. The selected candidate will be responsible for building machine learning models to support the core products. The company is on a mission to enhance the real estate closing process with efficiency and transparency. It has raised a funding of over $250 mn so far. This will be a long-term, full-time opportunity for those who want to work with a well-established company.

Job Responsibilities:

Build Machine Learning models to support core products of the company
Improve performance of document classification and annotation prediction models.
Research and prototype new applications for Machine Learning
Perform exploratory analysis on new product areas
Build and maintain production quality machine learning models
Investigate and organize disparate data sources for machine learning work
Drive high impact projects throughout the organization

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 2+ years of relevant experience as a Data scientist
Good understanding of advanced Machine Learning techniques
Proficiency in Python, SQL, and cloud technologies like AWS
Experience with Computer Vision, NLP, and or Deep Learning
Fluent English communication skills to collaborate with engineering managers
Passion for learning new technologies, self-starter, and problem-solving skills"
56,56,Online Ads Evaluators in Bangladesh,"Appen Dhaka, Bangladesh Remote",Contract · Entry level,"Do you want to be a part of something bigger? Do you enjoy researching, learning new things, organizing, and labeling? We do too!

Project Overview:
In this project, you will annotate photos to help improve the product and services of the world's largest search engines.

Project Requirements:
Gmail and Google Photos services access
An Android or iOS Smartphone
Chrome or Firefox browser
English speaker residing in Bangladesh

Click the ""Apply"" button to start your registration.

What to expect when you register:
Create an Appen Account
Choose English (Bangladesh) as your primary language
Complete your profile and project registration [5 min]
Study the provided guidelines [at your own pace]
Agree to confidentiality and ways of working rules
Pass the quiz


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."""
57,57,Social Media Evaluator in Bangladesh,"Appen Dhaka, Bangladesh Remote",Contract · Entry level,"As a social media evaluator, you will assess the quality and relevance of information in news feeds, advertisements, and search results. You can make a direct impact on the effectiveness of services your favorite social media platforms provide and make the b user experience better for all.

What You Can Expect:
Short-term commitment, potential to work long-term
Flexible work schedule to suite your lifestyle needs
Some projects may ask you to work a designated number of hours each week

No experience is necessary, all you need is:
An active Facebook account with at least 25 friends
Computer and/or smartphone device with a stable internet connection
Fluent speaker, reader, and writer in your local language
Good comprehension skills in English
Currently residing in the country of the specific task you apply for


Join the fun with AI Technology! Become an Appen Contributor!

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
58,58,Junior Automation & Marketing Executive,TradingPost Group Bangladesh Remote,Full-time · Entry level,"Trading Post is one of the largest and oldest classifieds businesses in Australia, established in 1966.

It is a true icon brand that every Australian knows and loves.

Almost 2 million Australians search its classifieds every month, using online, mobile or tablet.

Trading Post today is growing fast, runs a 24/7 operation and its highly capable development team uses the latest technology and platforms to deliver cutting edge tools for its products, brands and the classifieds market.

The Trading Post company culture is important to us. Our culture successfully matches strong family values and loyalty with a high performance environment, which makes it a great place to contribute, achieve and learn.

The company is always looking for bright, new staff who thrive in a dynamic international environment.

The Role

We are looking for self-driven candidates with a strong interest in data management and marketing. The ideal candidate will assist us in optimizing and troubleshooting the core data systems that support our business specifically in marketing and the automation process behind digital marketing. For this role it is required to have knowledge of HTML, CSS, Javascript and C#, experience with Mailchimp or Mautic.

Our ideal applicant is a problem solver with strong interpersonal skills who thrives in a fast-paced, dynamic environment and has expertise in marketing.

This Junior Automation & Marketing Executive role will be helping us to automate processes in a work environment. Furthermore, understand the relationships between the various datasets that exist in our business, and to co-ordinate the import and export of data across our various systems and partners and clients.

Your Responsibilities Will Include

Maintaining and extending the data synchronization into us in house SuiteCRM environment.
Maintain and continuously improve existing automated processes.
Assisting our Account management team to extract reporting and marketing data.
Providing technical support for our various customer data import and export systems.
Assist in any ad-hoc task as and when assigned by immediate superior.
Organize Electronic Direct Mails (EDMs).

Ideal Profile

Skills Required

Candidate must possess at least a bachelor's degree, Post Graduate Diploma, Professional Degree, or master's degree in Computer Science/Information Technology, Mathematics, Physics, Science & Technology or an equivalent field.
A minimum of 1 years of experience in the following coding-languages (Javascript and C#).
Required knowledge of understanding CSV, XML, JSON, HTML & CSS.
Outstanding analytical and problem-solving capabilities.
Excellent written and verbal communication skills
Ability to work independently.
MS SQL
MongoDB
MySQL
Elastic Search
SuiteCRM/SugarCRM
Scripting, system automation and browser automation
Willingness to learn
High Achiever
Great attitude
Enjoys problem solving
Passionate

What's on Offer?

Excellent career development opportunities
Leadership Role
Work within a company with a solid track record of success"
59,59,Senior Case Processing Manager,"International Rescue Committee Cox’s Bazar, Chattogram, Bangladesh On-site",Contract · Mid-Senior level,"Requisition ID: req35053

Job Title: Senior Case Processing Manager

Sector: Program Administration

Employment Category: Regular

Employment Type: Full-Time

Open to Expatriates: Yes

Location: Cox's Bazar, Bangladesh

Job Description

Founded in 1933, International Rescue Committee (IRC) is one of the world’s leading agencies working in post-conflict and development contexts, supporting communities in over 40 fragile, failed and developing states. In this capacity, we work to restore safety, dignity and hope to millions who are uprooted, struggling to endure and wishing to advance on a path of development.

The Resettlement Support Center Asia (RSC Asia), funded by the US State Department Bureau of Population, Refugees, and Migration (PRM), assists persons throughout Asia seeking permanent resettlement in the United States. Responsible for a portfolio of 37 countries, RSC Asia: prepares refugee applications for the United States Refugee Admissions Program (USRAP) using START (a State Department–managed data system that supports the arrival and resettlement of refugees through technology); provides information to resettlement agencies about arriving refugees and offers cultural orientation training to refugees bound for the United States.

Purpose of the Role

The Senior Case Processing Manager oversees all functions of RSC Asia’s Case Processing team in Bangladesh and ensures USRAP applicants receive a high standard of case processing services through the provision of leadership, supervision, case management and quality control. Case Processing functions are comprised mainly of data entry/management of refugee case file information in START. This position ensures: post-adjudication follow up with United States Citizenship and Immigration Services (USCIS); coordination of refugee medicals and departures with the International Organization for Migration (IOM); request and follow up of assurances with the Refugee Processing Center (RPC) and stateside resettlement agencies (RA), report analysis, and ensuring adequate quality control mechanisms are in place for all aspects of the Case Processing activities.

Highlights Of Key Responsibilities

Program Delivery
Coordinate workload, supervise, support, and lead the Case Processing Department
Ensures all refugee case processing functions within the department strictly adhere to the PRM, USCIS, RPC/START, IRC and RSC Asia policies, guidelines and procedures.
Ensure all data entered into START by department staff is error-free in accordance with USRAP guidelines and the cooperative agreement by ensuring error detection and correction at every quality control check point
Collaborate with the Casework, Pipeline and Reporting, and Program Support Departments, including and all Case Processing managers to develop, align and implement overall RSC departmental goals, policies, and procedures
Plan and anticipate workload of each team and direct appropriate staff resources
Ensure timely and accurate completion of tasks
Perform regular quality checks on work completed by direct reports and spot checks on department
In coordination with Case Processing Managers, assess, develop, and conduct trainings to address Case Processing needs
Be a subject matter expert on specialized processing stages including, but not limited to, specialized caseloads, expedites and exceptional case requirements as required by the donor
Collaborate with Pipeline and Reporting team to develop Tableau and START-based reporting suitable for overall pipeline monitoring of USCIS Adjudicated cases.
Communicate challenges and issues in a timely manner to supervisors
Other related duties as assigned by Supervisor, including being back up for CPC when required

Staff Management, Training and Communication
Ensure professional coordination and communication, both internally and externally
Maintain open, clear channels and professional of communication to reports/follow up to supervisors, colleagues, and partnership organizations such as IOM, PRM, UNHCR, RMA, USCIS, RPC, and Resettlement Agencies (RAs), as required to complete the workload.
Responsible for supervision, support and guidance for the team of Case Processing Managers
Responsible to oversee all staff performance improvement plans
Oversee and provide initial and ongoing training of the Case Processing team; develop and conduct trainings relevant to case processing activities in line with current SOPs
Other related duties as assigned
Experience and Competencies: Knowledge, Skills & Abilities

Education

University Degree in any field

Work Experience
At least three years of relevant professional experience collecting/managing extensive data required
Minimum one-year management experience, managing team performance and projects, required
USRAP processing or other NGO experience is preferred
Previous work in a multi-cultural environment is preferred
Demonstrated Skills And Competencies
Able to travel whenever required, both domestically and internationally
Solid organizational skills with the ability to juggle multiple tasks, set priorities, effectively manage time, and meet deadlines and work well under pressure in a fast-paced team environment
Problem-solver who takes initiative to provide solutions
High level of professionalism, integrity, and ability to maintain confidentiality
Good team player, strong analytical skills and able to think and work independently when needed
Proven proactive people management and leadership skills, leading a team and promoting productivity in a positive work environment
Able to manage team’s performance and provide regular effective feedback
Able to review and develop policies and procedures for the department and proactively suggest areas for improvement.
Able to ensure compliance of policies and procedures by team members, with a professional and constructive attitude
Excellent interpersonal skills: ability to communicate and work effectively and professionally with partners and colleagues in a cross-cultural environment
Able to train in large and small group settings
Good communication skills with pleasant demeanor
Ability to take direction from supervisors and cooperate with teammates
Language And Computer Skills
Excellent verbal and written English language skills
High level of computer literacy and proficient in MS Office applications (Word, Excel, Power Point, Outlook) is required.
Able to run and read high level spreadsheets and do advanced QC with a high level of attention to detail
Proven advanced data entry skills with extreme accuracy, attention to detail, and self-checking abilities
Working Environment

The position is currently based in Cox’s Bazar. The position requires both domestic and international travel to support delivery of USRAP processing within Bangladesh. A valid passport and the ability to acquire US and other visas, as necessary, is a requirement.

Standard of Professional Conduct: IRC and IRC employees are required to abide by the values and principles outlined in the IRC Way – Code of Conduct which are Integrity, Service, Equality and Accountability. In accordance with these values, IRC operates and enforces policies on Beneficiary Protection from Exploitation and Abuse, Child Safeguarding, Harassment-Free Workplace, Fiscal Integrity, Anti-Retaliation, Combating Trafficking in Persons and several others.

Gender Equality & Equal Opportunity: We are committed to narrowing the gender gap in leadership positions. We offer generous benefits that provide an enabling environment for women to participate in our workforce including parental leave, gender-sensitive security protocols and other supportive benefits and allowances. We welcome and strongly encourage qualified female professionals to apply.

We are an equal opportunity employer and value diversity at our organization. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. Are you ready to join the most dynamic team?"
60,60,IT Recruiter,AppCake Bangladesh Remote,"$6,000/yr - $12,000/yr · Full-time · Entry level","AppCake is an innovative product company that has specialized in successful mobile app development since 2017. We conquer the IT industry with a non-trivial approach, interesting tasks and the active use of modern technologies. The released products are distinguished by positive download growth, intuitive interface and easy perception by end users. Our goal is to create quality products that are understandable and easy to use. Our customers are millions of users of applications based on Android and iOS.

Working in AppCake is a creative process in a team of professionals. The company provides an opportunity for each employee to build a successful career by implementing bold ideas and using their full potential

The Role

Your Responsibilities Will Include

Liaise with clients to understand role requirements in order to source the most suitable candidates
Write and post technical job descriptions on specialist IT job boards, social media and any other relevant channels
Source, screen and compile a shortlist of qualified candidates for various technical roles
Interview candidates combining various methods (e.g. structured interviews, technical assessments and behavioral questions)
Build a candidate CRM to ensure a solid pipeline of qualified candidates - ensuring candidate data is kept updated
Participate in tech conferences and meetups to network with IT professionals
Keep up to date with new technological trends in order to form strategic conversations with clients on future hiring needs

Ideal Profile

Skills Required

Experience in a similar position from 6 months.
Knowledge of various search systems, the ability to use them.
Competent written and oral speech.
Experience in closing IT vacancies.
Organization; Responsibility, Punctuality.
High communication skills.
Basic knowledge of the difference in IT technologies and programming languages (Java, Kotlin, Swift, C#) will be a plus

What's on Offer?

Great Opportunity"
61,61,NW Performance & Optimization Specialist,"Nokia Dhaka, Dhaka, Bangladesh On-site",Full-time,"Nokia is a global leader in the technologies that connect people and things. With state-of-the-art software, hardware and services for any type of network, Nokia is uniquely positioned to help communication service providers, governments, and large enterprises deliver on the promise of 5G, the Cloud and the Internet of Things.

Serving customers in over 100 countries, our research scientists and engineers continue to invent and accelerate new technologies that will increasingly transform the way people and things communicate and connect.

Nokia is an equal opportunity employer that is commited to diversity and inclusion.

At Nokia, employment decisions are made regardless of race, color, national or ethnic origin, religion, gender, sexual orientation, gender identity or expression, age, marital status, disability, protected veteran status or other characteristics protected by law.

Job Description:

Plans, delivers and executes technical activities to provides services directly and indirectly to Nokia internal and external customers.
Responsible for design, planning and optimization of Nokia Products 2G/3G/4G/5G planning, optimization and acceptance
Coordination with implementation and field teams during activity if required
Understand customer's requirements and take the lead to provide appropriate response with solution and recommendation
Prepare and deliver technical network performance
Optimize the network according to the agreed KPI
Perform acceptance tests with customer as required
Ability to perform NPO related to planning & optimization work independently. These may include complex problem solving in projects with performance requirements and multi-vendor environment.
Performs network audits
Actively shares key learnings and project documentation within own technical community
Strong contributor and ability to share competence knowledge transfer within internal and customer tea

Personal Attributes:
Strong understanding on Telecommunication knowledge & industry
Very good team player and collaboration
Hungry to learn especially about new technology
Good communication skills (English) and presentation
Ready to take any challenge in any working environment

If you have engineering background with desire to work in 4G/5G telco field, please do apply to the role. 10+ years working experience required for your application.

Job

NW Design & Optimisation - Performance & Optimisation Specialist

Primary Location

Asia Pacific & Japan-Bangladesh-Bangladesh-Dhaka

Schedule

Full-time"
62,62,Associate Training and Content Specialist,"Therap (BD) Ltd. Dhaka, Dhaka, Bangladesh On-site",Full-time · Entry level,"Job Description

Prepare user guides, release notes, and reference documentations
Develop innovative tutorials for website
Interact with users of the system to explain complex technical issues
Communicate user feedback to developers to help design a better product
Prepare responses to RFPs and other business proposals

Job Nature: Full-time

Requirements

Excellent communication skills in both verbal and written English
Creative and analytical writing skills
Strong computer skills and eagerness to learn new technologies
Attention to detail and a drive for quality
Bachelor’s in CS/CSE/ETE/EEE or similar fields preferred

Location: Banani, Dhaka

Other Benefits: As Per Company Policy

No. of Vacancies: 2"
63,63,Remote Senior Data Analyst Jobs,Turing Bangladesh Remote,Full-time · Mid-Senior level,"A fast-growing company that has established itself as a leading national healthcare provider in the industry is looking for a Senior Data Analyst/Scientist. The candidate will partner closely with various teams to deliver high-impact data products and drive actions. The company is on a mission to develop cutting-edge, technologically advanced healthcare solutions that provide virtual care and has raised more than $500 mn in funding. This role presents a rare opportunity to apply data science to unique and evolving datasets to solve real problems at scale.

Job Responsibilities:

Collaborate with engineering, product, design, and support teams to create scalable product features
Architect data warehouse models and semantic layers with query optimizations in mind
Define performance metrics and initiate experiments to enhance the business
Work closely with the data team to build and deploy end-to-end solutions
Showcase results of analyses in a clear and actionable way
Advocate for a culture of learning within the organization
Show exemplary leadership with a solid team-player mentality to cultivate cross-functional collaborations

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
A minimum of 5+ years of relevant experience in data science, data analytics, statistics, operations research, capacity building, or equivalent quantitative field
Prior experience in healthcare is preferred
Full competency in SQL and Python data processing (pandas, sklearn)
Extensive experience with development tools and platforms such as dbt, Jupyter Notebook, Snowflake, Looker, and AWS
Fluent in verbal and written English"
64,64,Client Onboard Analyst 2,"Citi Dhaka, Dhaka, Bangladesh On-site",Full-time,"Job Id: 23605185

The Client Onboard Analyst 2 is a developing professional role. Applies specialty area knowledge in monitoring, assessing, analyzing and/or evaluating processes and data. Identifies policy gaps and formulates policies. Interprets data and makes recommendations. Researches and interprets factual information. Identifies inconsistencies in data or results, defines business issues and formulates recommendations on policies, procedures or practices. Integrates established disciplinary knowledge within own specialty area with basic understanding of related industry practices. Good understanding of how the team interacts with others in accomplishing the objectives of the area. Develops working knowledge of industry practices and standards. Limited but direct impact on the business through the quality of the tasks/services provided. Impact of the job holder is restricted to own team.

Responsibilities:

Perform the day-to-day client activation and product setup, including electronic banking (EB) configuration and backend systems maintenance, and hand off to back-office support teams where applicable.
Plan & organize the procedures of electronic banking of clients
Develop action plans, provide expertise in response to client needs, and support and advise project teams
Direct and advise clients in the development and implementation of their payment strategies
Responsible for customer interaction, documentation issuance, review and system setups.
Demonstrates high level of diligence, motivation and organizational skills.
Focuses on timely and accurate delivery of all account opening functions, as well as delivering superior customer service and resolution of customer issues.
Performs day to day management of the account opening and maintenance processing, including daily management of in-process, pended, and service related activities, ensuring account opening requirements are clearly defined to support all scenarios of account opening and maintenance requirements, to include delivery of very high quality service to customers and internal partners.
Responsible for various types of project management in the account services space, and managing cross-functional relationships with all teams.
Determines new work procedures, analyzes complex and variable issues with significant departmental impact.
Consistent delivery of high quality service to customers through meeting or exceeding customer expectation guided by service level agreements and efficiency/accuracy standards.
Ensures awareness and full compliance of internal processes, regulations, policies, guidelines, procedures, and practices.
Establishes and maintains close working relationship with clients and within team to facilitate an open and direct communication of issues, needs, queries, etc., in such that these may be responded to in an efficient, prompt and professional manner.
Embarks on continuous on the job training for end to end product knowledge.
Understands client requirements and implement them correctly.
Understands new customer requirements and ensure adequate support to new customer requirements and initiatives. Monitors customer satisfaction and service level and drive process changes. Provides innovative solutions to clients.
Daily deliverable of routine and defined tasks, while developing knowledge of the broader context in which work is being performed.
Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.

Qualifications:

7-8 years of experience in Documentation review, Account Maintenance, Implementation and related Cash products preferred.
Demonstrated interpersonal skills, pro-active team player but also able to work independently, with exceptional written and verbal communication skills.
Highly motivated, persistent, and able to work in a structured, high volume, time sensitive, high-risk environment. Capable of multitasking and eager to learn multiple products in a challenging environment. Fast learner, strong attention to detail, and willingness to go extra mile.
Proficient in Microsoft Office Applications.
Proficient in handling urgent and escalation cases and manage client and internal team expectations. Proficient knowledge of English (written and spoken).

Education:

Bachelor’s/University degree or equivalent experience

-------------------------------------------------

Job Family Group:

Customer Service

-------------------------------------------------

Job Family:

Institutional Client Onboarding

------------------------------------------------------

Time Type:

Full time

------------------------------------------------------

Citi is an equal opportunity and affirmative action employer.

Qualified applicants will receive consideration without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or status as a protected veteran.

Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity review Accessibility at Citi.

View the ""EEO is the Law"" poster. View the EEO is the Law Supplement.

View the EEO Policy Statement.

View the Pay Transparency Posting"
65,65,Search Engine Evaluation Project,Appen Bangladesh Remote,Contract · Entry level,"Interested in improving the relevance of search results? As a search engine evaluator, your job is to analyze content, images, video, and/or advertising to identify if it’s relevant and if so, how relevant it is to a specific topic. With your help, the accuracy of search results will be increased creating a better web experience for all.

What You Can Expect:
Short-term commitment, potential to work long-term
Flexible work schedule to suite your lifestyle needs
Some projects may ask you to work a designated number of hours each week

Qualifications:
Experience with web browsers, web pages, search queries, and search tools to navigate and evaluate content
Broad interest and current knowledge of social media and the internet
Fluent in spoken and written English as well as the language indicated on the specific task you apply for

Join the fun with AI Technology! Become an Appen Contributor!

We are an equal opportunity employer and value diversity at our company. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
66,66,Online Ads Evaluators in Bangladesh,"Appen Rajshahi, Bangladesh Remote",Contract · Entry level,"Do you want to be a part of something bigger? Do you enjoy researching, learning new things, organizing, and labeling? We do too!

Project Overview:
In this project, you will annotate photos to help improve the product and services of the world's largest search engines.

Project Requirements:
Gmail and Google Photos services access
An Android or iOS Smartphone
Chrome or Firefox browser
English speaker residing in Bangladesh

Click the ""Apply"" button to start your registration.

What to expect when you register:
Create an Appen Account
Choose English (Bangladesh) as your primary language
Complete your profile and project registration [5 min]
Study the provided guidelines [at your own pace]
Agree to confidentiality and ways of working rules
Pass the quiz


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."""
67,67,Remote Data Scientist Jobs,Turing Bangladesh Remote,Full-time · Entry level,"An emerging VC marketplace for international companies that will be a new economy investment platform is looking for a Data Scientist. The selected candidate will be actively involved in all aspects of the data analysis, from data modeling tasks to writing reports and making visualizations. The platform operates by matching investors with companies across the globe irrespective of their currency and location. Candidates who want to contribute to scalable solutions and rise quickly through the ranks and suitable for this role.

Job Responsibilities:

Understand business challenges and product improvement opportunities
Resolve business hurdles utilizing analytics s to make strategic or tactical recommendations
Assist in data cleaning and wrangling, quantitative analysis, and data mining related tasks
Gain understanding about how users interact with consumers and products
Work alongside product and engineering teams to resolve problems and identify trends and opportunities
Inform, influence, support, and execute key product decisions and launches
Forecast and ascertain product team goals, designing and evaluating experiments
Monitoring key product metrics to understand causes driving changes in metrics
Gather and build key data sets for empowering operational and exploratory analysis
Design an optimized and streamlined development roadmap
Develop models of user behaviors to analyze or power production systems
Assist product teams using presentations of data-based recommendations
Communicating the state of business, experiment results, etc. to product teams
Implement the best practices for analytics and product teams

Job Requirements:

Bachelor’s/Master’s degree in Engineering, Computer Science (or equivalent experience)
At least 3+ years of relevant experience as a Data Scientist
Expertise in working with languages like Python and R
Thorough knowledge of quantitative data analysis. report writing and presenting findings
Deep understanding of data querying languages like SQL
Utilize analytical skills to collect, organize, analyze, and disseminate large amounts of data with accuracy
Knowledge of updated applied statistics or experimentation methods
Capacity to handle stats-based modeling and ML modeling"
68,68,Online Ads Evaluators in Bangladesh,"Appen Chattogram, Bangladesh Remote",Contract · Entry level,"Do you want to be a part of something bigger? Do you enjoy researching, learning new things, organizing, and labeling? We do too!

Project Overview:
In this project, you will annotate photos to help improve the product and services of the world's largest search engines.

Project Requirements:
Gmail and Google Photos services access
An Android or iOS Smartphone
Chrome or Firefox browser
English speaker residing in Bangladesh

Click the ""Apply"" button to start your registration.

What to expect when you register:
Create an Appen Account
Choose English (Bangladesh) as your primary language
Complete your profile and project registration [5 min]
Study the provided guidelines [at your own pace]
Agree to confidentiality and ways of working rules
Pass the quiz


""A diverse, inclusive culture is vital to our mission of helping build better AI. We offer opportunities for individuals of all abilities and backgrounds."""
69,69,Django - Internship (3 months) at exciting digital health startup,"HealthOS Dhaka, Dhaka, Bangladesh On-site",Temporary · Internship,"HealthOS provides an integrated marketplace technology platform that seamlessly integrates one-click e-commerce, distribution and logistics at scale for modern pharmaceutical companies and pharmacies.

We develop and maintain cloud based technology platforms that enable pharmaceutical companies to reach and serve their customers on a daily basis at scale with high precision. Our data driven approach makes it possible to plan production and handle a large number of orders with high speed, elasticity and efficiency. We are currently processing more than 30 000 orders per month.

We are looking for several Django Interns (for a 3-month period initially) to join the team and help us build functional systems that improve product and customer experience. We are hiring for our offices in Dhaka, Bangladesh at this time. For high performers, the internship can be extended or even converted into a full-time position after the initial 3 month period.

Our team is global since day one and we are looking for more talented people to join our journey.

Requirements

Technical skills
Experience in Python & Django
Experience in Django REST Framework and REST APIs
Experience with Django and Celery
Experience with PostgreSQL and ORMs
You use Linux as Your primary environment (Ubuntu / Debian)
You understand some frontend technologies like JavaScript, HTML5, and CSS
You know how to debug Your code
Versioning with Git (GitHub).
Big plus if (NOT mandatory)
You have worked with ElasticSearch
You have worked with GraphQL
You have worked with Firebase
You have worked with React.js
You have worked with Angular.js
Social Skills
You are team player and you enjoy collaboration
You are eager to learn and share Your passion for software development
You value Your and other people’s time
You are curious as a person and are open to new ideas
You know how to use Github, Slack, Discord and Google Docs
Fluent in English, both verbal and written
Please Provide (if Applicable)
Github profile
StackOverflow profile
Twitter profile
LinkedIn profile
Benefits

What we offer
Fullstack agile team which owns and maintains their own product
Your expertise and contribution will be appreciated from day one
Plenty of opportunities to grow as an engineer
Competitive salary and compensation
HealthOS as a workplace

At HealthOS we value freedom and responsibility. We expect our colleagues to have high expectations of themselves and be disciplined. Discover how You can make a difference in the lives of others together with a great team at HealthOS."
70,70,Office IT Administrator,"Therap (BD) Ltd. Dhaka, Dhaka, Bangladesh On-site",Full-time · Entry level,"What We Are Looking For

Computer Science (or related technical field) graduates.
Hands on experience with Windows, Active Directory and MS Office Applications.
Ability to troubleshoot hardware, software, network, printer issues.
Familiarity with Linux and Mac environments.
Has basic Computer Networking and Operating Systems concepts.
Creative problem solving skills with strong troubleshooting skills."
71,71,"Sales Manager, Panchagarh (16 January 2023)","Robi Axiata Limited Panchagarh, Rajshahi, Bangladesh On-site",Full-time · Entry level,"Job Purpose: Ensuring smooth implementation of territory business plans in assigned territory with optimum use of re-sources to be attained by product volume, product availability, long term & sustainable trade relationship, merchandising & best customer experience.

Key Accountabilities

Attain Territory Sales Target (RV & SIM) by ensuring proper distribution of products and implementation of retail channel activities.
Develop the right distribution (expansion of RV & SIM POS) set-up to optimize the availability of products in the area.
Develop and manage the operation of third-party distribution channels (RSP) as per the company guidelines.
Arrange & Execute Trade marketing activities.
Ensure Brand Visibility in POS through Point Of Sales Materials to create TOM.
Develop long-term business relationships with key channel partners (RV POS & SIM POS) & make them feel they are taken care of specially.
Monitor & follow up RSP Sales entry & SAF Submission to ensure 100% Compliance.
Set up Customer Service points to ensure the best customer experience.
Pull and mobilize all necessary resources to attain business objectives.
RStore, MFS (Robi Cash), Binge product availability through channel partners and even distribution
Implement Digital/ Hybrid Distribution
Implement Distributor Financing

Educational Requirement: Minimum Graduate

Dimension: Sales and Marketing

Experience Requirement: 4 years minimum in sales and Distribution

Skills Requirement:

Excellent planning and execution skills.
Excellent communication skills both in English & Bengali.
Innovative & Out of the box thinker.
Good Negotiation skills.
Team Management Skills.
Self-Motivated."
72,72,IT Recruiter,AppCake Bangladesh Remote,"$6,000/yr - $12,000/yr · Full-time · Entry level","AppCake is an innovative product company that has specialized in successful mobile app development since 2017. We conquer the IT industry with a non-trivial approach, interesting tasks and the active use of modern technologies. The released products are distinguished by positive download growth, intuitive interface and easy perception by end users. Our goal is to create quality products that are understandable and easy to use. Our customers are millions of users of applications based on Android and iOS.

Working in AppCake is a creative process in a team of professionals. The company provides an opportunity for each employee to build a successful career by implementing bold ideas and using their full potential

The Role

Your Responsibilities Will Include

Liaise with clients to understand role requirements in order to source the most suitable candidates
Write and post technical job descriptions on specialist IT job boards, social media and any other relevant channels
Source, screen and compile a shortlist of qualified candidates for various technical roles
Interview candidates combining various methods (e.g. structured interviews, technical assessments and behavioral questions)
Build a candidate CRM to ensure a solid pipeline of qualified candidates - ensuring candidate data is kept updated
Participate in tech conferences and meetups to network with IT professionals
Keep up to date with new technological trends in order to form strategic conversations with clients on future hiring needs

Ideal Profile

Skills Required

Experience in a similar position from 6 months.
Knowledge of various search systems, the ability to use them.
Competent written and oral speech.
Experience in closing IT vacancies.
Organization; Responsibility, Punctuality.
High communication skills.
Basic knowledge of the difference in IT technologies and programming languages (Java, Kotlin, Swift, C#) will be a plus

What's on Offer?

Great Opportunity"
